player_id;list_tournaments
P-92780;1950
P-59353;1938
P-63828;1986
P-23330;2022
P-11961;1986
P-80285;1966
P-68309;2007
P-43213;2007
P-15801;1982
P-54171;1978
P-96621;1962
P-19817;1958
P-82956;2022
P-28217;1994
P-66683;1954
P-22192;2014
P-75905;2006
P-21753;2006
P-69103;2006
P-68145;2007
P-03886;2014
P-31537;1998
P-44487;1966
P-36379;1930
P-24531;2018
P-47004;2003
P-79316;2006
P-68729;2007
P-84893;1994
P-61706;1998
P-11629;2010
P-69834;1982
P-50398;2022
P-37696;2018
P-71023;2018
P-37867;1934
P-39938;1938
P-22820;1994
P-28649;1998
P-84945;2010
P-35590;1994
P-31496;2002
P-03861;1966
P-16478;2010
P-32265;1974
P-13638;1986
P-47978;1970
P-81571;1991
P-44460;1998
P-51120;1934
P-51843;2007
P-04488;1986
P-43705;2022
P-44129;1938
P-83165;2010
P-60745;1954
P-42021;1962
P-70102;1982
P-99591;1938
P-71531;2002
P-90911;1974
P-62207;2002
P-23401;1934
P-38092;1938
P-07053;2019
P-60371;1994
P-65696;1978
P-97773;1995
P-45925;1934
P-63774;1994
P-12765;1978
P-60570;1978
P-91027;1950
P-22714;1934
P-83613;1990
P-40570;1998
P-33014;1999
P-68817;1930
P-42321;1990
P-33264;1994
P-82191;2002
P-63826;1930
P-24913;2011
P-61802;1986
P-67450;1974
P-27507;1938
P-66036;1999
P-79580;1938
P-05213;2015
P-17838;1938
P-53274;2015
P-77807;2006
P-15381;2003
P-35273;1982
P-75527;1990
P-12206;1986
P-55451;2010
P-57240;2010
P-23912;1978
P-54576;1999
P-06511;1998
P-19422;2010
P-64450;1962
P-12997;1999
P-50270;2010
P-70389;1950
P-36550;1950
P-03320;2003
P-37720;2011
P-23964;2015
P-99158;1954
P-21048;1999
P-64424;2018
P-53957;2014
P-57352;1930
P-98547;1950
P-88467;1978
P-54786;1974
P-95369;2002
P-97777;1991
P-03000;1986
P-15663;1970
P-37860;2022
P-81433;2022
P-49542;1950
P-33464;2019
P-21550;1994
P-65883;1938
P-08972;1966
P-04201;2010
P-18610;1982
P-70237;2014
P-71503;1950
P-24464;1970
P-83615;1994
P-98630;1962
P-54632;1994
P-94330;1966
P-32524;2015
P-09728;2006
P-35585;1958
P-01292;2014
P-77419;2014
P-59720;2018
P-06708;1982
P-86608;1986
P-24437;2003
P-13299;1930
P-22391;2014
P-60583;1998
P-15436;1950
P-58349;1962
P-36397;2018
P-38529;2022
P-89869;2022
P-77951;2019
P-47391;1966
P-19996;2015
P-94275;2010
P-22286;2022
P-80654;1934
P-76678;1998
P-56094;1982
P-84380;1978
P-66254;1978
P-33635;1930
P-92547;1998
P-12041;1954
P-57595;2002
P-81466;2018
P-15860;1958
P-80668;2010
P-41619;1938
P-62751;1930
P-03546;1974
P-41243;2015
P-93894;1962
P-91946;1938
P-00137;2011
P-01505;2014
P-32881;1934
P-76247;1994
P-66148;2015
P-15347;2011
P-39268;1982
P-91413;1934
P-39788;2018
P-93161;1966
P-95402;2014
P-44896;1962
P-95563;1990
P-96985;1982
P-16654;1954
P-45419;2018
P-00445;1986
P-11976;2015
P-10240;2019
P-84458;1998
P-32386;1950
P-06545;2022
P-46561;1950
P-17212;2003
P-51443;2018
P-52444;2018
P-65206;2014
P-08652;2015
P-72808;1930
P-96510;2022
P-15235;1966
P-77204;2019
P-47496;1966
P-67942;1990
P-10167;2018
P-80606;1982
P-25543;2002
P-39956;2010
P-46913;2022
P-21803;1998
P-45870;2007
P-33189;1970
P-74323;2002
P-57837;1978
P-67172;1950
P-09400;2018
P-18193;2019
P-02028;2018
P-40487;2022
P-52032;2002
P-63803;2019
P-90086;2015
P-35750;1978
P-72803;1962
P-60554;2018
P-10444;1994
P-40338;1982
P-51678;2022
P-00077;2006
P-79996;2019
P-36522;2018
P-44116;2010
P-35875;1930
P-27328;1970
P-93801;1934
P-81597;1950
P-24782;1962
P-67181;1998
P-42498;1934
P-83771;1950
P-51990;2022
P-09062;2022
P-24277;1994
P-10224;2006
P-48310;2014
P-07398;1934
P-91543;2022
P-03644;1966
P-23204;1986
P-47461;1974
P-45250;1998
P-30993;2018
P-67663;1966
P-68961;1950
P-49997;2018
P-33030;1974
P-58795;1930
P-70770;1990
P-43440;2014
P-88961;1954
P-63276;1991
P-19426;1974
P-92179;1950
P-96339;1950
P-20318;1954
P-18927;1934
P-78276;2014
P-86843;1958
P-67176;2018
P-20645;1958
P-84693;2003
P-10791;1995
P-30621;2015
P-27669;2018
P-59141;2015
P-56710;2007
P-08805;1958
P-61320;1995
P-15529;1970
P-65347;1934
P-29650;1986
P-34957;1998
P-76750;2018
P-83403;1998
P-30957;1974
P-40581;2006
P-56097;2007
P-01945;2010
P-79884;2010
P-31765;2014
P-45550;2015
P-43499;2015
P-73513;2014
P-90857;2002
P-39602;2002
P-90611;1938
P-71030;1954
P-78347;2014
P-43931;2006
P-66016;2006
P-25470;1998
P-74924;1994
P-09113;2018
P-07614;2006
P-60716;2014
P-84885;1994
P-31312;1998
P-02360;1998
P-66596;2014
P-91148;1998
P-28514;1994
P-83522;1998
P-17967;2006
P-13539;2006
P-70515;2022
P-33365;1974
P-67711;1974
P-12476;2014
P-27035;2022
P-41316;1998
P-61487;2015
P-02344;1954
P-77789;2014
P-69750;1950
P-97927;2006
P-20690;1930
P-10094;1998
P-75361;2018
P-47255;2010
P-53153;1982
P-89943;2006
P-39480;1950
P-55673;2002
P-70795;1962
P-43998;1991
P-52474;1994
P-78756;1990
P-72482;1998
P-49669;1986
P-57715;2014
P-92135;2022
P-84563;2018
P-61219;1994
P-55917;1982
P-93565;1982
P-43823;1950
P-16075;1999
P-16675;2002
P-09547;1998
P-86407;1999
P-60826;1986
P-75470;1982
P-41814;1950
P-94649;2014
P-73507;1958
P-74389;1974
P-54473;2007
P-90321;2002
P-46873;2002
P-27720;1958
P-96912;1991
P-01974;1958
P-44411;1990
P-87740;1934
P-17799;1990
P-02909;2006
P-74001;1934
P-27460;1982
P-53874;2002
P-22562;1994
P-07031;1990
P-12470;1990
P-26050;1974
P-66576;1954
P-49008;2022
P-44044;2018
P-84079;1994
P-87388;1970
P-63927;2022
P-45593;1978
P-67274;1990
P-53099;1978
P-00153;1990
P-22841;1966
P-44209;1938
P-84003;2002
P-63738;1954
P-63987;1930
P-86095;2022
P-06087;2019
P-58088;1938
P-65978;2018
P-16785;2014
P-76368;2018
P-16070;1998
P-47456;1982
P-17754;1950
P-55416;2010
P-55928;1970
P-41909;1995
P-94871;1986
P-66433;2018
P-93941;2014
P-20138;1966
P-89102;2019
P-44798;1966
P-74455;1966
P-85296;1990
P-42945;1958
P-48947;2010
P-91040;1966
P-65888;1986
P-58433;1966
P-29075;2010
P-08449;1970
P-43085;1966
P-23800;2002
P-01935;1938
P-41870;1978
P-58656;1934
P-16659;1982
P-61069;2007
P-99392;1982
P-90659;1999
P-64332;2003
P-60387;2003
P-54481;1950
P-06162;2002
P-99417;1930
P-44963;1938
P-10561;2018
P-90789;2011
P-51410;1970
P-42920;1982
P-55733;1986
P-56518;1974
P-95766;2022
P-01013;1966
P-48443;2014
P-55121;1982
P-38921;1986
P-97143;2006
P-49425;2007
P-97154;2006
P-14907;2006
P-50445;1938
P-81990;1990
P-86294;2015
P-74906;2014
P-17523;2015
P-80043;2010
P-20330;1998
P-35934;2010
P-44396;2006
P-65816;1998
P-38492;1986
P-41357;2010
P-17988;2018
P-92939;2010
P-07642;2019
P-30753;2006
P-69235;2010
P-75651;1954
P-28811;2022
P-50623;1974
P-55991;1998
P-24299;1998
P-01955;1995
P-94445;2019
P-98689;1986
P-96080;2007
P-35031;1998
P-26539;2006
P-64207;1970
P-38424;2014
P-78222;1994
P-26928;1950
P-69145;2011
P-87059;1998
P-51549;2022
P-68512;2010
P-58429;2006
P-69619;1938
P-86163;2010
P-21108;2002
P-14841;1990
P-12680;2006
P-14044;1938
P-36970;1991
P-19199;1978
P-57952;1986
P-99975;1978
P-22408;1986
P-84542;1994
P-51570;1986
P-13975;2018
P-03297;1986
P-12738;1978
P-92367;1998
P-61853;1954
P-80201;1950
P-73157;2002
P-82507;1978
P-28170;1978
P-11735;1990
P-44438;2010
P-06684;1990
P-52430;1991
P-22242;1998
P-64457;1970
P-28084;1974
P-47674;1999
P-06291;1950
P-18335;1986
P-91976;2002
P-42763;2011
P-30996;2003
P-86688;2019
P-69089;2006
P-45731;1934
P-74480;2010
P-68671;1990
P-64512;2014
P-72864;1966
P-45750;2014
P-81049;1998
P-48464;2019
P-45005;2010
P-97635;2014
P-10172;2018
P-96029;2018
P-09053;2014
P-01561;1938
P-20874;1978
P-82354;2019
P-40730;1950
P-23403;1994
P-80138;2014
P-51118;2018
P-54713;2006
P-39260;2007
P-82054;2014
P-60022;1990
P-20998;2018
P-07353;2014
P-58954;2002
P-43734;1930
P-31118;2015
P-10855;1986
P-33017;1962
P-00957;2010
P-64125;2018
P-43123;1954
P-11019;1934
P-41251;2014
P-30282;1991
P-77223;1970
P-17774;1982
P-36719;2015
P-69200;2022
P-92503;2010
P-93236;2002
P-15674;2022
P-70724;1958
P-92635;1970
P-12716;1982
P-48323;1958
P-59774;1982
P-83005;1974
P-10223;1958
P-43639;1994
P-46497;2002
P-01959;1958
P-49604;1998
P-21962;2018
P-25130;1978
P-72733;1978
P-09795;1938
P-34408;1970
P-01949;1978
P-55710;2018
P-75509;1970
P-42575;2022
P-54768;2006
P-82657;2022
